product code,product model,unit price
L29837Y,LaserPointersAndPresentersS3,410
S0912X5,ServerR5,1340
L7P4035,LaptopDesk56,4658
T0X9417,TelephoneH7,163
WJ50817,WirelessAccessPointY0,10
WC49732,WirelessHd53,880
R5F0782,RouterX4,232
I94V518,IndustrialControlEquipment34,350
S3R8754,Switch59,241
L903I17,LensCapR5,143
CS90168,CustomerManagementSoftwareCrmW1,230
T540P67,TelephoneConferenceY7,166
M328K91,MonitorB2,498
C96H382,ClusterR4,289
N89L425,NetworkCardG1,60
C7G8396,CellphoneDataLineP5,350
G427L06,GameConsoleFilmN2,260
F1L0847,FootBathEyeProtectionLamp14,550
M9J6453,Mp4O7,383
T35X601,ToiletSeatM4,110
T0829X7,TonerCartridge29,39
TS64823,TwistedPair02,410
E4280M5,EpilatorR1,102
C186H47,ConnectingLine13,470
CF29758,Cd-RomBox49,127
T0E9518,Tester04,153
M85D039,Monitor75,179
E895N12,EarphoneP5,28
T67P542,TvBase30,740
C9520Y6,ColdLaminatorK3,140
S956G17,SlrHandle74,350
W52V643,WirelessNetworkCardD4,660
C96H382,ClusterH8,486
C9520Y6,ColdLaminator86,420
D68950Z,DigitalFrame48,340
RZ42653,RepeaterK4,70
C95F078,CasetteLibraryJ4,990
D50A198,DigitalCamera90,510
L92148E,LargeFormatPrinterD9,30
F9N8470,FocusingScreenU5,90
M9J6453,Mp4C9,455
W05C734,WaterDispenser12,20
C9520Y6,ColdLaminatorV6,890
C9W7563,CardPrinterP8,980
MR92570,MicrophoneDigitalCompanion64,160
LR91308,LaminatingMachineY9,480
H4239U1,HandwritingInputE9,720
SB01298,Scanner43,360
M9J6453,Mp4Z2,410
EZ12538,ElectricFan12,690
T5382D6,TapeS1,52
TT21465,TranslationSoftware40,680
P7604Q5,PbxW9,695
O032T69,OnlineTelephoneO8,380
D265U39,DyeSublimationPrinter41,540
D93P178,DevelopSoftware23,400
C2F0671,Cd24,37
I41V392,InkCartridgeU4,960
R243J08,RemoteControlU8,480
G80142H,GameConsoleBatteryB1,450
N13J804,NotebookCaseP4,430
SB01298,Scanner87,478
F790I64,Flash95,57
SE17564,ServerBarebones96,1187
R796N84,RangeHoodE2,60
A50L172,Air-ConditioningFan38,600
B189A57,BluetoothAdapterL1,440
M97X845,MobilePowerV4,80
P3650F7,PrecisionAirConditionerK4,780
G75X306,GameConsoleMemory17,410
N74Y235,NetworkExtenderA0,190
R6K1395,RamZ7,81
R45327J,RiceCooker18,150
O9F4205,OfficeEquipmentAccessories21,820
D8150P6,DotMatrixPrinterS4,980
E8T2037,ElectricHeaterR1,350
I1M6430,ImageSoftwareTypesettingSoftwareP6,580
LR91308,LaminatingMachineE3,670
H8713D4,HardDiskRecordingT5,170
S93N807,SpeakerAccessories96,102
L7P4035,LaptopDesk43,5805
C7G8396,CellphoneDataLine26,450
W920W86,WirelessSecurity90,400
L47869Q,LightningProtectionProductsK9,760
D0W8356,DigitalMobileTv84,420
T35X601,ToiletSeatC2,470
L8N0649,LaptopI7,7452
D50A198,DigitalCamera75,990
V56301I,VideoCaptureCard60,710
C48967S,Charger01,85
F9N8470,FocusingScreenU7,920
T67P542,TvBaseR1,890
D50A198,DigitalCameraS4,700
G071O86,GameMachineWireH5,490
B8E1796,Binoculars12,132
L5T1069,LcdMonitor47,320
T1239W5,TabletBag62,305
A4A8763,AttendanceMachine24,600
HD86793,HumidifierF6,316
F76983D,FlashAccessories19,172
T7E2913,TollMachineU6,20
CS90168,CustomerManagementSoftwareCrm50,760
GC81302,GasWaterHeaterB3,970
M40V792,MobilePhoneChargerD7,510
C6C1349,CoffeeMachineK4,540
V0W6342,VideoServer62,420
S92348F,ServerAccessoriesC2,999
S5291W4,ServerPower76,858
CZ28413,CarEquipment58,780
P56U187,PowerAmplifier15,720
C04R672,ConverterR3,295
C2F0671,Cd74,43
M40V792,MobilePhoneCharger07,10
I94V518,IndustrialControlEquipmentB7,320
W9718W3,WorkstationU5,1210
S93N807,SpeakerAccessoriesB0,137
P9L0284,Program-ControlledSwitchD8,750
HI14706,HotelEntertainmentV4,510
T9T8140,ToasterElectricOvenO2,380
S1490W6,ShutterReleaseP4,720
V0W6342,VideoServerY0,830
D51962U,DehumidifierK8,228
D265U39,DyeSublimationPrinterY6,180
DT47956,DvdPlayerG0,340
T95761U,TabletBase60,422
LR91308,LaminatingMachineV6,940
C3752Y9,CameraBattery40,322
S7K6834,ScreenSplitterB7,580
T035M47,Tablet82,327
T0829X7,TonerCartridge20,57
T0X9417,TelephoneM2,57
LR91308,LaminatingMachineC3,230
S03485W,SoundCardE9,740
A58192Z,AccessControlMachine78,580
S5291W4,ServerPowerH6,794
FG91426,FiberEquipmentF2,310
I291Q38,IsbnPrinterW6,130
C2698S3,Console71,257
DD18704,DigitalAccessoriesD7,440
M8I1749,Monocular31,231
M97X845,MobilePowerN6,170
FG91426,FiberEquipmentB0,70
RZ42653,RepeaterV9,164
HD86793,HumidifierZ4,312
M70628E,MobilePhoneBaseX8,580
CC50327,CentralWaterHeaterI0,490
P9L0284,Program-ControlledSwitchS2,700
M859T76,ModularInterfaceCardHub96,80
HI14706,HotelEntertainment81,560
L17546O,LaptopDockingStation45,3487
CC50327,CentralWaterHeaterX5,870
AE80564,AirPurifierD4,650
D50A198,DigitalCamera56,60
L15649H,LinePrinterX7,760
S36N209,Ssd73,309
CZ28413,CarEquipment57,640
CZ28413,CarEquipmentS3,380
R7248S9,RecordingPenA3,860
F24170J,FruitAndVegetableWashingMachineX6,830
G8573U9,GameJoystick05,360
E6N2308,ElectronicDictionaryG3,340
F40365I,FiberOpticCableI3,240
